종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"069460","대호에이엘","KOSPI",,"1111","-5","-0.45","1114","1124","1101","102383","113882417","75042379456","67544896"
"021040","대호특수강","KOSDAQ","중견기업부","3650","0","0.00","0","0","0","0","0","39611212550","10852387"
"021045","대호특수강우","KOSDAQ","중견기업부","7580","0","0.00","0","0","0","0","0","3215784680","424246"
"067080","대화제약","KOSDAQ","중견기업부","10180","-20","-0.20","10210","10270","10120","51487","524638200","189517497000","18616650"
"298540","더네이쳐홀딩스","KOSDAQ","우량기업부","10720","60","0.56","10500","10720","10330","62756","659849500","157847000640","14765856"
"032860","더라미","KOSDAQ","투자주의환기종목(소속부없음)","3640","0","0.00","0","0","0","0","0","147040941320","40395863"
"192080","더블유게임즈","KOSPI",,"50200","-100","-0.20","50500","50500","49700","46352","2318789000","1076944890600","21495906"
"393890","더블유씨피","KOSDAQ GLOBAL","기술성장기업부","20800","-100","-0.48","20900","21200","20300","81197","1685266450","704257226200","33696518"
"299170","더블유에스아이","KOSDAQ","중견기업부","1658","-20","-1.19","1652","1685","1650","26817","44556807","49816390617","30027963"
"012510","더존비즈온","KOSPI",,"63000","-2900","-4.40","65900","66400","61900","285368","18092971300","1914115392000","30382784"
"224060","더코디","KOSDAQ","중견기업부","5120","-80","-1.54","5200","5200","5100","3544","18140550","24216829800","4748398"
"302920","더콘텐츠온","KONEX","일반기업부","7600","400","5.56","7390","7920","7390","231","1711920","34597928400","4552359"
"043090","더테크놀로지","KOSDAQ","투자주의환기종목(소속부없음)","397","91","29.74","312","397","310","5109630","1930049415","28192062544","71012752"
"213420","덕산네오룩스","KOSDAQ GLOBAL","우량기업부","30450","-200","-0.65","30500","30750","30050","81218","2464859550","756109400550","24831179"
"317330","덕산테코피아","KOSDAQ","우량기업부","42700","1200","2.89","41050","43200","40800","239034","10158079250","870546789200","20459384"
"077360","덕산하이메탈","KOSDAQ","우량기업부","5460","-20","-0.36","5400","5490","5350","141133","763523240","248086030920","45437002"
"004830","덕성","KOSPI",,"7400","-90","-1.20","7400","8130","7310","3259928","25515993870","114777600000","15680000"
"004835","덕성우","KOSPI",,"11350","-160","-1.39","12960","14140","11010","1423520","18496523840","15395520000","1392000"
"090410","덕신이피씨","KOSDAQ","우량기업부","1583","-2","-0.13","1576","1584","1562","159463","250355543","72490281435","46084095"
"024900","덕양산업","KOSPI",,"4095","30","0.74","4050","4235","3965","481020","1971626550","132702293500","32564980"
"263600","덕우전자","KOSDAQ","우량기업부","6480","-30","-0.46","6390","6580","6390","45250","293474040","103547015000","15930310"
"194480","데브시스터즈","KOSDAQ","벤처기업부","40700","0","0.00","40500","41000","40100","31460","1272924250","488343897000","12013380"
"263800","데이타솔루션","KOSDAQ","중견기업부","4530","180","4.14","4350","5000","4275","1301372","6112424675","72973710000","16216380"
"199150","데이터스트림즈","KONEX","일반기업부","3900","0","0.00","3900","3900","3900","1","3900","16647590700","4268613"
"206560","덱스터","KOSDAQ","기술성장기업부","6370","-120","-1.85","6300","6560","6290","132646","850710330","162380993040","25411736"
"261200","덴티스","KOSDAQ","벤처기업부","7890","-50","-0.63","7940","7980","7820","8940","70222200","124738533000","15809700"
"145720","덴티움","KOSPI",,"82200","-300","-0.36","82500","82800","80800","29124","2379310000","909857826000","11068830"
"227420","도부마스크","KONEX","일반기업부","1808","0","0.00","0","0","0","0","0","29731674080","16444510"
"067990","도이치모터스","KOSDAQ","우량기업부","4915","20","0.41","4900","4940","4845","48264","236719725","148493226000","30181550"
"002150","도화엔지니어링","KOSPI",,"7060","-20","-0.28","7030","7100","7020","32115","226966770","239412000000","33720000"
"006620","동구바이오제약","KOSDAQ","우량기업부","5720","0","0.00","5640","5740","5610","104084","591502840","162535104320","28464992"
